,,,MIS  ,,CO,,,
ISIN,Symbol,BSE Symbol,Var+ ELM+Adhoc margin,MIS Margin(%),MIS Multiplier,CO Margin(%),CO Upper Trigger,CO Multiplier
ISIN,Symbol,Not listed in BSE,#N/A,#N/A,#N/A,#N/A,#N/A,
INE021O01019,DODLA,543306,16.51,20.00,5,20.00,10,5
INE325C01035,DOLLAR,541403,19.17,20.00,5,20.00,10,5
INE321T01012,DOMS,544045,15.93,20.00,5,20.00,10,5
INE266Y01019,DPABHUSHAN,544161,21.86,20.00,5,20.00,10,5
INE506A01018,DREDGECORP,523618,27.33,20.00,5,20.00,10,5
INE089A01031,DRREDDY,500124,12.68,20.00,5,20.00,10,5
INE417B01040,DSSL,532365,26.62,20.00,5,20.00,10,5
INE366A01041,DWARKESH,532610,20.64,20.00,5,20.00,10,5
INE600Y01019,DYCL,540795,27.98,20.00,5,20.00,10,5
INE221B01012,DYNAMATECH,505242,21.43,20.00,5,20.00,10,5
INE07O001026,EASEMYTRIP,543272,25.67,20.00,5,20.00,10,5
INF754K01KO2,EBBETF0430,542909,12.50,20.00,5,20.00,10,5
INF754K01LE1,EBBETF0431,543216,12.50,20.00,5,20.00,10,5
INF754K01QX0,EBBETF0433,543699,12.50,20.00,5,20.00,10,5
INE18JU01028,EBGNG,544455,22.35,20.00,5,20.00,10,5
INE738I01010,ECLERX,532927,22.62,20.00,5,20.00,10,5
INE532F01054,EDELWEISS,532922,21.17,20.00,5,20.00,10,5
INE886D01026,EFCIL,512008,22.59,20.00,5,20.00,10,5
INF754K01SE6,EGOLD,Not listed in BSE,14.31,20.00,5,20.00,10,5
INE066A01021,EICHERMOT,505200,14.23,20.00,5,20.00,10,5
INE126A01031,EIDPARRY,500125,15.60,20.00,5,20.00,10,5
INE0LLY01014,EIEL,544290,23.71,20.00,5,20.00,10,5
INE230A01023,EIHOTEL,500840,16.71,20.00,5,20.00,10,5
INE158B01016,EIMCOELECO,523708,24.56,20.00,5,20.00,10,5
INE184H01027,EKC,532684,21.36,20.00,5,20.00,10,5
INE280B01018,ELANTAS,500123,20.74,20.00,5,20.00,10,5
INE927X01018,ELCIDIN,503681,17.99,20.00,5,20.00,10,5
INE205B01031,ELECON,505700,22.49,20.00,5,20.00,10,5
INE086A01029,ELECTCAST,500128,23.50,20.00,5,20.00,10,5
INE822G01016,ELECTHERM,526608,29.04,20.00,5,20.00,10,5
INE285A01027,ELGIEQUIP,522074,17.69,20.00,5,20.00,10,5
INE050401020,ELIN,543725,23.18,20.00,5,20.00,10,5
INE669R01026,ELITECON,539533,73.54,100.00,1,100.00,10,1
INE236E01022,ELLEN,544421,21.39,20.00,5,20.00,10,5
INE579B01039,ELPROINTL,504000,19.15,20.00,5,20.00,10,5
INE548C01032,EMAMILTD,531162,14.97,20.00,5,20.00,10,5
INE069I01010,EMBDL,532832,25.88,20.00,5,20.00,10,5
INE168P01015,EMCURE,544210,16.70,20.00,5,20.00,10,5
INE02YR01019,EMIL,543626,23.65,20.00,5,20.00,10,5
INE1C6T01020,EMMVEE,544608,20.49,20.00,5,20.00,10,5
INE0OV601013,EMSLIMITED,543983,26.30,20.00,5,20.00,10,5
INE01QM01018,EMUDHRA,543533,18.17,20.00,5,20.00,10,5
INE913H01037,ENDURANCE,540153,16.35,20.00,5,20.00,10,5
INF769K01PR2,ENERGY,544604,12.50,20.00,5,20.00,10,5
INE510A01028,ENGINERSIN,532178,21.55,20.00,5,20.00,10,5
INE1NPP01017,ENRIN,544390,17.82,20.00,5,20.00,10,5
INE010601016,ENTERO,544122,18.99,20.00,5,20.00,10,5
INE0G5901015,EPACK,544095,23.69,20.00,5,20.00,10,5
INE0MLS01022,EPACKPEB,544540,24.64,20.00,5,20.00,10,5
INE071N01016,EPIGRAL,543332,21.51,20.00,5,20.00,10,5
INE255A01020,EPL,500135,16.99,20.00,5,20.00,10,5
INE063P01018,EQUITASBNK,543243,17.78,20.00,5,20.00,10,5
INE406M01024,ERIS,540596,16.01,20.00,5,20.00,10,5
INE284A01012,ESABINDIA,500133,15.64,20.00,5,20.00,10,5
INE042A01014,ESCORTS,500495,15.81,20.00,5,20.00,10,5
INF754K01SF3,ESILVER,Not listed in BSE,23.98,20.00,5,20.00,10,5
INE758T01015,ETERNAL,543320,18.28,20.00,5,20.00,10,5
INE04TZ01018,ETHOSLTD,543532,19.06,20.00,5,20.00,10,5
INE0KCE01017,EUREKAFORB,543482,16.94,20.00,5,20.00,10,5
INE198501012,EUROPRATIK,544519,19.58,20.00,5,20.00,10,5
INE128A01029,EVEREADY,531508,17.97,20.00,5,20.00,10,5
INF769K01LQ3,EVINDIA,544212,12.50,20.00,5,20.00,10,5
INE606N01019,EXCELSOFT,544617,20.64,20.00,5,20.00,10,5
INE777F01014,EXICOM,544133,28.85,20.00,5,20.00,10,5
INE302A01020,EXIDEIND,500086,16.09,20.00,5,20.00,10,5
INE201K01015,EXPLEOSOL,533121,19.12,20.00,5,20.00,10,5
INE0HF201011,FABTECH,544558,18.92,20.00,5,20.00,10,5
INE188A01015,FACT,590024,21.70,20.00,5,20.00,10,5
INE045J01034,FCL,533333,26.95,20.00,5,20.00,10,5
INE258B01022,FDC,531599,15.58,20.00,5,20.00,10,5
INE417D01020,FEDDERSHOL,511628,23.70,20.00,5,20.00,10,5
INE171A01029,FEDERALBNK,500469,13.70,20.00,5,20.00,10,5
INE007N01010,FEDFINA,544027,19.14,20.00,5,20.00,10,5
INE225B01021,FERMENTA,506414,24.85,20.00,5,20.00,10,5
INE737H01014,FIEMIND,532768,17.73,20.00,5,20.00,10,5
INE816B01035,FILATEX,526227,22.72,20.00,5,20.00,10,5
INE235A01022,FINCABLES,500144,20.00,20.00,5,20.00,10,5
INE686Y01026,FINEORG,541557,15.89,20.00,5,20.00,10,5
INF109KC17L8,FINIETF,543677,12.50,20.00,5,20.00,10,5
INE02NC01014,FINOPB,543386,29.06,20.00,5,20.00,10,5
INE183A01024,FINPIPE,500940,16.25,20.00,5,20.00,10,5
INE02RE01045,FIRSTCRY,544226,21.27,20.00,5,20.00,10,5
INE771F01041,FISCHER,524743,24.49,20.00,5,20.00,10,5
INE128S01021,FIVESTAR,543663,19.75,20.00,5,20.00,10,5
INE00Y201027,FLAIR,544030,17.27,20.00,5,20.00,10,5
INE09N301011,FLUOROCHEM,542812,16.51,20.00,5,20.00,10,5
INF109KC19V3,FMCGIETF,543326,12.50,20.00,5,20.00,10,5
INE529A01010,FMGOETZE,505744,18.97,20.00,5,20.00,10,5
INE451A01017,FORCEMOT,500033,24.36,20.00,5,20.00,10,5
INE061F01013,FORTIS,532843,14.26,20.00,5,20.00,10,5
INE519A01011,FOSECOIND,500150,20.01,20.00,5,20.00,10,5
INE212S01015,FRACTAL,544700,17.33,20.00,5,20.00,10,5
INE572D01014,FRONTSP,522195,26.11,20.00,5,20.00,10,5
INE684F01012,FSL,532809,24.12,20.00,5,20.00,10,5
INE139R01012,FUSION,543652,23.23,20.00,5,20.00,10,5
INE524A01029,GABRIEL,505714,24.22,20.00,5,20.00,10,5
INE036B01030,GAEL,524226,18.39,20.00,5,20.00,10,5
INE129A01019,GAIL,532155,14.64,20.00,5,20.00,10,5
INE0RE001014,GALAPREC,544244,22.93,20.00,5,20.00,10,5
INE600K01018,GALAXYSURF,540935,15.30,20.00,5,20.00,10,5
INE297H01019,GALLANTT,532726,26.22,20.00,5,20.00,10,5
INE717W01049,GANDHAR,544029,23.79,20.00,5,20.00,10,5
INE845D01014,GANECOS,514167,23.52,20.00,5,20.00,10,5
INE652V01016,GANESHCP,544528,18.09,20.00,5,20.00,10,5
INE460C01014,GANESHHOU,526367,19.98,20.00,5,20.00,10,5
INE276A01018,GARFIBRES,509557,19.11,20.00,5,20.00,10,5
INE0JVO01026,GARUDA,544271,26.18,20.00,5,20.00,10,5
INE079J01017,GATEWAY,543489,16.20,20.00,5,20.00,10,5
INE199P01028,GCSL,543324,26.43,20.00,5,20.00,10,5
INE06XZ01023,GEMAROMA,544491,20.52,20.00,5,20.00,10,5
INE854S01022,GENCON,539407,25.02,20.00,5,20.00,10,5
INE727B01026,GENESYS,506109,31.82,20.00,5,20.00,10,5
INE955D01029,GENUSPOWER,530343,21.08,20.00,5,20.00,10,5
INE007B01023,GEOJITFSL,532285,20.15,20.00,5,20.00,10,5
INE017A01032,GESHIP,500620,18.27,20.00,5,20.00,10,5
INE539A01019,GHCL,500171,15.72,20.00,5,20.00,10,5
INE0PA801013,GHCLTEXTIL,543918,19.77,20.00,5,20.00,10,5
INE289B01019,GICHSGFIN,511676,14.06,20.00,5,20.00,10,5
INE481Y01014,GICRE,540755,15.58,20.00,5,20.00,10,5
INE322A01010,GILLETTE,507815,13.85,20.00,5,20.00,10,5
INF204KC1030,GILT5YBEES,Not listed in BSE,8.00,20.00,5,20.00,10,5
INE162A01010,GIPCL,517300,18.62,20.00,5,20.00,10,5
INE1AG301022,GKENERGY,544525,21.01,20.00,5,20.00,10,5
INE0V0W01025,GKSL,544666,12.82,20.00,5,20.00,10,5
INE068V01023,GLAND,543245,16.88,20.00,5,20.00,10,5
INE159A01016,GLAXO,500660,15.21,20.00,5,20.00,10,5
INE935A01035,GLENMARK,532296,15.17,20.00,5,20.00,10,5
INE615I01010,GLOBUSSPR,533104,19.86,20.00,5,20.00,10,5
INE075D01018,GMBREW,507488,19.83,20.00,5,20.00,10,5
INE131A01031,GMDCLTD,532181,23.82,20.00,5,20.00,10,5
INE541A01023,GMMPFAUDLR,505255,16.80,20.00,5,20.00,10,5
INE776C01039,GMRAIRPORT,532754,16.13,20.00,5,20.00,10,5
INE0CU601026,GMRP&UI,543490,21.06,20.00,5,20.00,10,5
INE934S01014,GNA,540124,22.21,20.00,5,20.00,10,5
INE113A01013,GNFC,500670,16.44,20.00,5,20.00,10,5
INE207H01018,GNRL,513536,23.55,20.00,5,20.00,10,5
INE426D01013,GOACARBON,509567,19.66,20.00,5,20.00,10,5
INE077F01035,GOCLCORP,506480,22.42,20.00,5,20.00,10,5
INE0BJS01011,GOCOLORS,543401,23.79,20.00,5,20.00,10,5
INE497S01012,GODAVARIB,544279,22.16,20.00,5,20.00,10,5
INE260B01028,GODFRYPHLP,500163,25.64,20.00,5,20.00,10,5
INE03JT01014,GODIGIT,544179,15.35,20.00,5,20.00,10,5
INE850D01014,GODREJAGRO,540743,15.49,20.00,5,20.00,10,5
INE102D01028,GODREJCP,532424,13.45,20.00,5,20.00,10,5
INE233A01035,GODREJIND,500164,21.13,20.00,5,20.00,10,5
INE484J01027,GODREJPROP,533150,18.43,20.00,5,20.00,10,5
INE887G01027,GOKEX,532630,25.42,20.00,5,20.00,10,5
INE314T01033,GOKULAGRO,539725,21.63,20.00,5,20.00,10,5
INF174KA1HJ8,GOLD1,590097,14.54,20.00,5,20.00,10,5
INF740KA1SW3,GOLDADD,543903,14.88,20.00,5,20.00,10,5
INF846K01W80,GOLDAXIS,533570,16.13,20.00,5,20.00,10,5
INF204KB17I5,GOLDBEES,590095,14.54,20.00,5,20.00,10,5
INF789F1AUX7,GOLDBETA,590101,13.96,20.00,5,20.00,10,5
INF0R8F01042,GOLDCASE,544132,14.34,20.00,5,20.00,10,5
INF769K01JP9,GOLDETF,543781,13.84,20.00,5,20.00,10,5
INE025B01025,GOLDIAM,526729,28.31,20.00,5,20.00,10,5
INF109KC1NT3,GOLDIETF,533244,14.87,20.00,5,20.00,10,5
INE127I01024,GOODLUCK,530655,22.49,20.00,5,20.00,10,5
INE533A01012,GOODYEAR,500168,12.50,20.00,5,20.00,10,5
INE0L9R01028,GOPAL,544140,16.79,20.00,5,20.00,10,5
INE177H01039,GPIL,532734,18.39,20.00,5,20.00,10,5
INE517F01014,GPPL,533248,15.77,20.00,5,20.00,10,5
INE486R01017,GPTHEALTH,544131,15.59,20.00,5,20.00,10,5
INE390G01014,GPTINFRA,533761,21.15,20.00,5,20.00,10,5
INE926B01016,GRANDOAK,523862,33.41,20.00,5,20.00,10,5
INE101D01020,GRANULES,532482,16.45,20.00,5,20.00,10,5
INE371A01025,GRAPHITE,509488,20.38,20.00,5,20.00,10,5
INE047A01021,GRASIM,500300,12.71,20.00,5,20.00,10,5
INE266D01021,GRAUWEIL,505710,20.91,20.00,5,20.00,10,5
INE024L01027,GRAVITA,533282,20.80,20.00,5,20.00,10,5
INE224A01026,GREAVESCOT,501455,23.68,20.00,5,20.00,10,5
INE544R01021,GREENLAM,538979,20.38,20.00,5,20.00,10,5
INE08ZM01014,GREENPANEL,542857,19.56,20.00,5,20.00,10,5
INE461C01038,GREENPLY,526797,20.08,20.00,5,20.00,10,5
INE999K01014,GREENPOWER,533263,20.89,20.00,5,20.00,10,5
INE536A01023,GRINDWELL,506076,19.16,20.00,5,20.00,10,5
INE201P01022,GRINFRA,543317,15.26,20.00,5,20.00,10,5
INE192H01020,GRMOVER,531449,23.79,20.00,5,20.00,10,5
INE0HOQ01053,GROWW,544603,19.29,20.00,5,20.00,10,5
INF666M01IO8,GROWWDEFNC,590157,13.44,20.00,5,20.00,10,5
INF666M01IH2,GROWWEV,Not listed in BSE,12.50,20.00,5,20.00,10,5
INF666M01OE7,GROWWGOLD,590156,14.50,20.00,5,20.00,10,5
INF666M01IP5,GROWWLIQID,590159,8.00,20.00,5,20.00,10,5
INF666M01LM6,GROWWPOWER,544473,12.50,20.00,5,20.00,10,5
INF666M01JJ6,GROWWRAIL,590158,12.50,20.00,5,20.00,10,5
INF666M01OF4,GROWWSLVR,590155,25.43,20.00,5,20.00,10,5
INE382Z01011,GRSE,542011,24.51,20.00,5,20.00,10,5
INE291A01017,GRWRHITECH,500655,27.34,20.00,5,20.00,10,5
INE026A01025,GSFC,500690,15.92,20.00,5,20.00,10,5
INE713R01022,GSPCROP,544733,15.48,20.00,5,20.00,10,5
INE742B01025,GUFICBIO,509079,18.77,20.00,5,20.00,10,5
INE186A01019,GUJALKALI,530001,19.70,20.00,5,20.00,10,5
INE844O01030,GUJENERGY,539336,21.20,20.00,5,20.00,10,5
INE942C01045,GUJTHEM,506879,25.04,20.00,5,20.00,10,5
INE635Q01029,GULFOILLUB,538567,16.95,20.00,5,20.00,10,5
INE255D01024,GULPOLY,532457,21.96,20.00,5,20.00,10,5
INE878A01011,GVPIL,532309,29.57,20.00,5,20.00,10,5
INE200A01026,GVT&D,522275,22.20,20.00,5,20.00,10,5
INE724A01017,GYFTR,507912,21.75,20.00,5,20.00,10,5
INE066F01020,HAL,541154,15.67,20.00,5,20.00,10,5
INE419U01012,HAPPSTMNDS,543227,17.90,20.00,5,20.00,10,5
INE330T01021,HAPPYFORGE,544057,16.62,20.00,5,20.00,10,5
INE626Z01029,HARDWYN,541276,26.23,20.00,5,20.00,10,5
INE00EV01017,HARIOMPIPE,543517,24.71,20.00,5,20.00,10,5
INE0JUS01029,HARSHA,543600,16.94,20.00,5,20.00,10,5
INE982F01036,HATHWAY,533162,17.02,20.00,5,20.00,10,5
INE473B01035,HATSUN,531531,15.96,20.00,5,20.00,10,5
INE176B01034,HAVELLS,517354,13.11,20.00,5,20.00,10,5
INE979B01015,HAWKINCOOK,508486,12.50,20.00,5,20.00,10,5
INE292B01021,HBLENGINE,517271,22.20,20.00,5,20.00,10,5
INE549A01026,HCC,500185,24.68,20.00,5,20.00,10,5
INE075I01017,HCG,539787,16.09,20.00,5,20.00,10,5
INE860A01027,HCLTECH,532281,15.11,20.00,5,20.00,10,5
INE756I01012,HDBFS,544429,12.53,20.00,5,20.00,10,5
INE127D01025,HDFCAMC,541729,16.44,20.00,5,20.00,10,5
INE040A01034,HDFCBANK,500180,12.50,20.00,5,20.00,10,5
INF179KC1981,HDFCGOLD,533230,14.53,20.00,5,20.00,10,5
INE795G01014,HDFCLIFE,540777,12.63,20.00,5,20.00,10,5
INF179KC1JG3,HDFCLIQUID,543973,8.00,20.00,5,20.00,10,5
INF179KC1HT0,HDFCMID150,543776,8.48,20.00,5,20.00,10,5
INF179KC1HS2,HDFCNEXT50,543570,8.86,20.00,5,20.00,10,5
INF179KC1HY0,HDFCNIFBAN,543224,12.50,20.00,5,20.00,10,5
INF179KC1965,HDFCNIFTY,539516,8.00,20.00,5,20.00,10,5
INF179KC1HZ7,HDFCPVTBAN,543666,12.50,20.00,5,20.00,10,5
INF179KC1DI2,HDFCSILVER,543592,25.60,20.00,5,20.00,10,5
INF179KC1FB2,HDFCSML250,543775,9.09,20.00,5,20.00,10,5
INF109KC1Q72,HEALTHIETF,543292,12.50,20.00,5,20.00,10,5
INE545A01024,HEG,509631,20.97,20.00,5,20.00,10,5
INE578A01017,HEIDELBERG,500292,12.84,20.00,5,20.00,10,5
INE0AJG01018,HEMIPROP,543242,20.48,20.00,5,20.00,10,5
INE978A01027,HERITGFOOD,519552,17.85,20.00,5,20.00,10,5
INE158A01026,HEROMOTOCO,500182,14.15,20.00,5,20.00,10,5
INE782E01017,HESTERBIO,524669,22.29,20.00,5,20.00,10,5
INE093A01041,HEXT,544362,18.54,20.00,5,20.00,10,5
INE548A01028,HFCL,500183,24.80,20.00,5,20.00,10,5
INE926X01010,HGINFRA,541019,19.13,20.00,5,20.00,10,5
INE170I01016,HGS,532859,16.72,20.00,5,20.00,10,5
INE475B01022,HIKAL,524735,21.44,20.00,5,20.00,10,5
INE049A01027,HIMATSEIDE,514043,21.89,20.00,5,20.00,10,5
INE038A01020,HINDALCO,500440,15.23,20.00,5,20.00,10,5
INE531E01026,HINDCOPPER,513599,24.50,20.00,5,20.00,10,5
INE345A01011,HINDOILEXP,500186,21.99,20.00,5,20.00,10,5
INE094A01015,HINDPETRO,500104,18.11,20.00,5,20.00,10,5
INE030A01027,HINDUNILVR,500696,12.50,20.00,5,20.00,10,5
INE05AN01011,HINDWAREAP,542905,24.50,20.00,5,20.00,10,5
INE267A01025,HINDZINC,500188,19.42,20.00,5,20.00,10,5
INE835D01023,HIRECT,504036,28.04,20.00,5,20.00,10,5
INE106T01025,HITECH,543411,20.81,20.00,5,20.00,10,5
INE461D01028,HLEGLAS,522215,24.41,20.00,5,20.00,10,5
INE0ECP01024,HMAAGRO,543929,18.09,20.00,5,20.00,10,5
INE254N01026,HNDFDS,519126,14.62,20.00,5,20.00,10,5
INF204KB19I1,HNGSNGBEES,590113,12.95,20.00,5,20.00,10,5
INE481N01025,HOMEFIRST,543259,19.28,20.00,5,20.00,10,5
INE0J5401028,HONASA,544014,18.07,20.00,5,20.00,10,5
INE671A01010,HONAUT,517174,15.74,20.00,5,20.00,10,5
INE634A01018,HONDAPOWER,522064,16.56,20.00,5,20.00,10,5
INE495S01016,HPL,540136,24.04,20.00,5,20.00,10,5
INE019C01026,HSCL,500184,19.15,20.00,5,20.00,10,5
INE501G01024,HTMEDIA,532662,21.70,20.00,5,20.00,10,5
INE703H01016,HUBTOWN,532799,24.01,20.00,5,20.00,10,5
INE031A01017,HUDCO,540530,18.63,20.00,5,20.00,10,5
INE275B01026,HUHTAMAKI,509820,20.33,20.00,5,20.00,10,5
INE0V6F01027,HYUNDAI,544274,14.72,20.00,5,20.00,10,5
INE520Y01019,ICEMAKE,201038,19.97,20.00,5,20.00,10,5
INE346A01027,ICICIAMC,544658,13.12,20.00,5,20.00,10,5
INF109KB15Y7,ICICIB22,540787,12.50,20.00,5,20.00,10,5
INE090A01021,ICICIBANK,532174,12.50,20.00,5,20.00,10,5
INE765G01017,ICICIGI,540716,13.80,20.00,5,20.00,10,5
INE726G01019,ICICIPRULI,540133,13.88,20.00,5,20.00,10,5
INE483B01026,ICIL,521016,26.80,20.00,5,20.00,10,5
INE725G01011,ICRA,532835,12.69,20.00,5,20.00,10,5
INE008A01015,IDBI,500116,22.60,20.00,5,20.00,10,5
INE669E01016,IDEA,532822,23.28,20.00,5,20.00,10,5
INE092T01019,IDFCFIRSTB,539437,16.12,20.00,5,20.00,10,5
INE022Q01020,IEX,540750,19.41,20.00,5,20.00,10,5
INE559A01017,IFBIND,505726,23.23,20.00,5,20.00,10,5
INE039A01010,IFCI,500106,26.46,20.00,5,20.00,10,5
INE133Y01011,IFGLEXPOR,540774,25.43,20.00,5,20.00,10,5
INE188B01013,IGARASHI,517380,23.50,20.00,5,20.00,10,5
INE05J901018,IGCL,544432,19.12,20.00,5,20.00,10,5
INE0Q9301021,IGIL,544311,18.37,20.00,5,20.00,10,5
INE203G01027,IGL,532514,15.56,20.00,5,20.00,10,5
INE204A01010,IGPL,500199,19.27,20.00,5,20.00,10,5
INE530B01024,IIFL,532636,20.92,20.00,5,20.00,10,5
INE489L01022,IIFLCAPS,542773,22.06,20.00,5,20.00,10,5
INE886A01014,IITL,501295,25.26,20.00,5,20.00,10,5
INE0LOJ01019,IKIO,543923,24.27,20.00,5,20.00,10,5
INE115Q01022,IKS,544309,17.57,20.00,5,20.00,10,5
INE172N01012,IMAGICAA,539056,19.91,20.00,5,20.00,10,5
INE919H01018,IMFA,533047,23.02,20.00,5,20.00,10,5
INE0LGX01024,INA,543620,19.35,20.00,5,20.00,10,5
INE065X01017,INDGN,544172,15.71,20.00,5,20.00,10,5
INE053A01029,INDHOTEL,500850,14.35,20.00,5,20.00,10,5
INE383A01012,INDIACEM,530005,17.60,20.00,5,20.00,10,5
INE560A01023,INDIAGLYCO,500201,19.94,20.00,5,20.00,10,5
INE933S01016,INDIAMART,542726,14.17,20.00,5,20.00,10,5
INE562A01011,INDIANB,532814,17.01,20.00,5,20.00,10,5
INE323C01030,INDIANHUME,504741,22.32,20.00,5,20.00,10,5
INE922K01024,INDIASHLTR,544044,16.57,20.00,5,20.00,10,5
INE646L01027,INDIGO,539448,17.09,20.00,5,20.00,10,5
INE09VQ01012,INDIGOPNTS,543258,17.07,20.00,5,20.00,10,5
INE06ST01018,INDIQUBE,544454,16.45,20.00,5,20.00,10,5
INE092B01025,INDNIPPON,532240,19.97,20.00,5,20.00,10,5
INE803D01021,INDOBORAX,524342,24.22,20.00,5,20.00,10,5
INE873D01024,INDOCO,532612,22.70,20.00,5,20.00,10,5
INE622H01018,INDOFARM,544328,23.95,20.00,5,20.00,10,5
INE084101034,INDOMIM,544837,12.50,20.00,5,20.00,10,5
INE156A01020,INDORAMA,500207,26.00,20.00,5,20.00,10,5
INE896L01010,INDOSTAR,541336,23.03,20.00,5,20.00,10,5
INE681B01017,INDRAMEDCO,532150,21.23,20.00,5,20.00,10,5
INE915B01019,INDSWFTLAB,532305,25.22,20.00,5,20.00,10,5
INE095A01012,INDUSINDBK,532187,17.29,20.00,5,20.00,10,5
INE121J01017,INDUSTOWER,534816,14.85,20.00,5,20.00,10,5
INE344S01016,INFOBEAN,543644,31.34,20.00,5,20.00,10,5
INF109KC16E5,INFRAIETF,543571,12.50,20.00,5,20.00,10,5
INE009A01021,INFY,500209,15.48,20.00,5,20.00,10,5
INE177A01018,INGERRAND,500210,16.37,20.00,5,20.00,10,5
INE0DUT01020,INNOVACAP,544067,18.06,20.00,5,20.00,10,5
INE616N01034,INOXINDIA,544046,19.10,20.00,5,20.00,10,5
INE066P01011,INOXWIND,539083,21.30,20.00,5,20.00,10,5
INE070I01018,INSECTICID,532851,17.30,20.00,5,20.00,10,5
INE306R01017,INTELLECT,538835,20.40,20.00,5,20.00,10,5
INE00M901018,INTERARCH,544232,20.75,20.00,5,20.00,10,5
INE565A01014,IOB,532388,16.31,20.00,5,20.00,10,5
INE242A01010,IOC,530965,14.48,20.00,5,20.00,10,5
INE485C01029,IOLCP,524164,24.48,20.00,5,20.00,10,5
INE570A01022,IONEXCHANG,500214,20.60,20.00,5,20.00,10,5
INE571A01038,IPCALAB,524494,15.35,20.00,5,20.00,10,5
INE0D6701023,IPL,543311,19.61,20.00,5,20.00,10,5
INE821I01022,IRB,532947,16.09,20.00,5,20.00,10,5
INE962Y01021,IRCON,541956,20.76,20.00,5,20.00,10,5
INE335Y01020,IRCTC,542830,13.17,20.00,5,20.00,10,5
INE202E01016,IREDA,544026,17.91,20.00,5,20.00,10,5
INE053F01010,IRFC,543257,16.80,20.00,5,20.00,10,5
INE01GN01025,IRISDOREME,210539,19.25,20.00,5,20.00,10,5
INE07U701015,IRMENERGY,544004,23.20,20.00,5,20.00,10,5
INE858B01029,ISGEC,533033,19.89,20.00,5,20.00,10,5
INF174KA1GC5,IT,Not listed in BSE,13.36,20.00,5,20.00,10,5
INF204KB15V2,ITBEES,590141,13.26,20.00,5,20.00,10,5
INE154A01025,ITC,500875,12.50,20.00,5,20.00,10,5
INE379A01028,ITCHOTELS,544325,15.67,20.00,5,20.00,10,5
INE353K01014,ITDC,532189,27.35,20.00,5,20.00,10,5
INF769K01KV5,ITETF,544006,13.37,20.00,5,20.00,10,5
INE248A01017,ITI,523610,21.41,20.00,5,20.00,10,5
INF109KC16I6,ITIETF,543221,13.25,20.00,5,20.00,10,5
INE056801025,IVALUE,544523,17.45,20.00,5,20.00,10,5
INF205KA1BP1,IVZINGOLD,533172,16.57,20.00,5,20.00,10,5
INE0HV901016,IXIGO,544192,25.79,20.00,5,20.00,10,5
INE848A01014,IZMO,532341,29.15,20.00,5,20.00,10,5
INE168A01041,J&KBANK,532209,21.48,20.00,5,20.00,10,5
INE199G01027,JAGRAN,532705,12.55,20.00,5,20.00,10,5
INE048B01035,JAGSNPHARM,507789,20.41,20.00,5,20.00,10,5
INE070D01027,JAICORPLTD,512237,23.07,20.00,5,20.00,10,5
INE0YD401026,JAINREC,544537,22.72,20.00,5,20.00,10,5
INE039C01032,JAMNAAUTO,520051,20.51,20.00,5,20.00,10,5
INE00YJ01010,JARO,544534,21.38,20.00,5,20.00,10,5
INE039O01029,JASH,544402,20.62,20.00,5,20.00,10,5
INE571B01036,JAYBARMARU,520066,28.17,20.00,5,20.00,10,5
INE903A01025,JAYKAY,500306,27.94,20.00,5,20.00,10,5
INE854B01010,JAYNECOIND,522285,26.87,20.00,5,20.00,10,5
INE927D01051,JBMA,532605,21.57,20.00,5,20.00,10,5
INE0MB501011,JGCHEM,544138,23.16,20.00,5,20.00,10,5
INE796G01012,JINDALPHOT,532624,24.56,20.00,5,20.00,10,5
INE197D01010,JINDALPOLY,500227,22.36,20.00,5,20.00,10,5
INE324A01032,JINDALSAW,500378,22.58,20.00,5,20.00,10,5
INE749A01030,JINDALSTEL,532286,15.16,20.00,5,20.00,10,5
INE742C01031,JINDRILL,511034,24.87,20.00,5,20.00,10,5
INE247D01039,JINDWORLD,531543,27.93,20.00,5,20.00,10,5
INE758E01017,JIOFIN,543940,15.64,20.00,5,20.00,10,5
INE175A01038,JISLJALEQS,500219,22.78,20.00,5,20.00,10,5
INE863T01013,JITFINFRA,540311,27.34,20.00,5,20.00,10,5
INE823G01014,JKCEMENT,532644,16.22,20.00,5,20.00,10,5
INE576I01022,JKIL,532940,17.09,20.00,5,20.00,10,5
INE786A01032,JKLAKSHMI,500380,15.02,20.00,5,20.00,10,5
INE789E01012,JKPAPER,532162,18.89,20.00,5,20.00,10,5
INE573A01042,JKTYRE,530007,19.14,20.00,5,20.00,10,5
INE682M01020,JLHL,543980,13.13,20.00,5,20.00,10,5
INE780C01023,JMFINANCIL,523405,21.42,20.00,5,20.00,10,5
INE0OAF01028,JNKINDIA,544167,26.65,20.00,5,20.00,10,5
INE05C901015,JNPR,544853,25.00,20.00,5,20.00,10,5
INE147P01019,JPOLYINVST,536773,23.34,20.00,5,20.00,10,5
INE351F01018,JPPOWER,532627,25.40,20.00,5,20.00,10,5
INE953L01027,JSFB,544118,20.68,20.00,5,20.00,10,5
INE220G01021,JSL,532508,16.78,20.00,5,20.00,10,5
INE0J5801029,JSLL,544476,25.13,20.00,5,20.00,10,5
INE718I01012,JSWCEMENT,544480,13.52,20.00,5,20.00,10,5
INE133A01011,JSWDULUX,500710,15.98,20.00,5,20.00,10,5
INE121E01018,JSWENERGY,533148,17.08,20.00,5,20.00,10,5
